"step","bid","ask","mid","spread","scenario","timestamp"
0,0,0,0,0,"mini_flash_crash",1768680499.1049037
1,999.9,1000.1,1000,0.20000000000004547,"mini_flash_crash",1768680499.1082673
2,999.9,1000.1,1000,0.20000000000004547,"mini_flash_crash",1768680499.1118011
3,1000,1001.2,1000.6,1.2000000000000455,"mini_flash_crash",1768680499.1150858
4,1000,1002.2,1001.1,2.2000000000000455,"mini_flash_crash",1768680499.1177614
5,1000.1,1002.1,1001.1,2,"mini_flash_crash",1768680499.1208386
6,1000.6,1001.6,1001.1,1,"mini_flash_crash",1768680499.1240466
7,1000.6,1001.6,1001.1,1,"mini_flash_crash",1768680499.127068
8,1001,1001.2,1001.1,0.20000000000004547,"mini_flash_crash",1768680499.1304226
9,1000.2,1002,1001.1,1.7999999999999545,"mini_flash_crash",1768680499.1336193
10,1001,1001.2,1001.1,0.20000000000004547,"mini_flash_crash",1768680499.1361234
11,1001.1,1001.8,1001.45,0.6999999999999318,"mini_flash_crash",1768680499.1394658
12,1001.1,1002.4,1001.75,1.2999999999999545,"mini_flash_crash",1768680499.142351
13,1001.1,1002.6,1001.85,1.5,"mini_flash_crash",1768680499.1458037
14,1001.8,1002,1001.9,0.20000000000004547,"mini_flash_crash",1768680499.150613
15,1001.9,1002,1001.95,0.10000000000002274,"mini_flash_crash",1768680499.1539254
16,1001.8,1002,1001.9,0.20000000000004547,"mini_flash_crash",1768680499.157288
17,1001.9,1002.2,1002.05,0.3000000000000682,"mini_flash_crash",1768680499.160327
18,1001.5,1002.6,1002.05,1.1000000000000227,"mini_flash_crash",1768680499.1635673
19,1001.8,1002.3,1002.05,0.5,"mini_flash_crash",1768680499.1667595
20,1001.8,1002.1,1001.95,0.3000000000000682,"mini_flash_crash",1768680499.1703146
21,1001.3,1002,1001.65,0.7000000000000455,"mini_flash_crash",1768680499.1732912
22,1000.5,1002.1,1001.3,1.6000000000000227,"mini_flash_crash",1768680499.1766646
23,1001.1,1001.5,1001.3,0.39999999999997726,"mini_flash_crash",1768680499.1797988
24,1001.2,1001.4,1001.3,0.1999999999999318,"mini_flash_crash",1768680499.1845481
25,1000.1,1002.1,1001.1,2,"mini_flash_crash",1768680499.1890228
26,1000.7,1001.5,1001.1,0.7999999999999545,"mini_flash_crash",1768680499.192107
27,1000.7,1001.5,1001.1,0.7999999999999545,"mini_flash_crash",1768680499.202726
28,999.6,1002.1,1000.85,2.5,"mini_flash_crash",1768680499.20625
29,1000.5,1001.2,1000.85,0.7000000000000455,"mini_flash_crash",1768680499.2090516
30,1000.7,1001,1000.85,0.2999999999999545,"mini_flash_crash",1768680499.2127776
31,1000.7,1001,1000.85,0.2999999999999545,"mini_flash_crash",1768680499.215653
32,1000.8,1001,1000.9,0.20000000000004547,"mini_flash_crash",1768680499.218792
33,1000.8,1001.2,1001,0.40000000000009095,"mini_flash_crash",1768680499.224124
34,1000.8,1001,1000.9,0.20000000000004547,"mini_flash_crash",1768680499.2364724
35,1000.8,1001.2,1001,0.40000000000009095,"mini_flash_crash",1768680499.2395928
36,1001,1001.1,1001.05,0.10000000000002274,"mini_flash_crash",1768680499.2428281
37,1001,1001.9,1001.45,0.8999999999999773,"mini_flash_crash",1768680499.2478638
38,1001.1,1001.8,1001.45,0.6999999999999318,"mini_flash_crash",1768680499.2513378
39,1001,1001.9,1001.45,0.8999999999999773,"mini_flash_crash",1768680499.2550585
40,1001,1001.5,1001.25,0.5,"mini_flash_crash",1768680499.2589238
41,1001.2,1001.5,1001.35,0.2999999999999545,"mini_flash_crash",1768680499.262149
42,1001.2,1001.4,1001.3,0.1999999999999318,"mini_flash_crash",1768680499.2675421
43,1001.2,1001.4,1001.3,0.1999999999999318,"mini_flash_crash",1768680499.2713625
44,1001.2,1001.4,1001.3,0.1999999999999318,"mini_flash_crash",1768680499.2746983
45,1001.2,1001.4,1001.3,0.1999999999999318,"mini_flash_crash",1768680499.2780306
46,1001.3,1001.5,1001.4,0.20000000000004547,"mini_flash_crash",1768680499.2814505
47,1001.3,1001.5,1001.4,0.20000000000004547,"mini_flash_crash",1768680499.284403
48,1001.3,1001.5,1001.4,0.20000000000004547,"mini_flash_crash",1768680499.2875721
49,1001.3,1001.5,1001.4,0.20000000000004547,"mini_flash_crash",1768680499.2906637
50,1001.2,1001.5,1001.35,0.2999999999999545,"mini_flash_crash",1768680499.294006
51,1001.1,1001.4,1001.25,0.2999999999999545,"mini_flash_crash",1768680499.297419
52,1001.2,1001.4,1001.3,0.1999999999999318,"mini_flash_crash",1768680499.3016913
53,1001.2,1001.4,1001.3,0.1999999999999318,"mini_flash_crash",1768680499.304818
54,1001.2,1001.4,1001.3,0.1999999999999318,"mini_flash_crash",1768680499.3079503
55,1001.1,1001.5,1001.3,0.39999999999997726,"mini_flash_crash",1768680499.3112648
56,1001.3,1001.7,1001.5,0.40000000000009095,"mini_flash_crash",1768680499.3147314
57,1001.3,1001.7,1001.5,0.40000000000009095,"mini_flash_crash",1768680499.3173523
58,1001.4,1001.6,1001.5,0.20000000000004547,"mini_flash_crash",1768680499.3212383
59,1001.4,1001.6,1001.5,0.20000000000004547,"mini_flash_crash",1768680499.3254046
60,1001.3,1001.7,1001.5,0.40000000000009095,"mini_flash_crash",1768680499.3292568
61,1001.3,1001.9,1001.5999999999999,0.6000000000000227,"mini_flash_crash",1768680499.3330116
