step,pnl
468,5.0
905,-1.0
1066,1.0
2375,-2.0
2385,-2.5
2574,2.0
2837,5.0
2848,8.0
3111,12.5
3157,8.0
3399,-158.0
3780,-123.0
3878,-122.5
4275,-131.0
4528,-130.0
4706,-125.0
4787,-122.0
5423,-122.0
5512,-120.5
5702,-116.0
5913,-114.5
6337,-116.0
6390,-114.5
6393,-114.0
6758,-113.0
7544,-115.0
7685,-112.5
7778,-115.0
8200,-113.0
8230,-112.0
8442,-112.0
8937,-104.0
9726,-93.0
9810,-102.0
10378,-99.5
10847,-99.0
10932,-98.5
11379,-96.0
11463,-94.5
11599,-97.0
11679,-91.5
12048,-90.0
12666,-88.5
13689,-95.0
14231,-85.5
14909,-84.0
14968,-82.5
15216,-90.0
15407,-83.5
15494,-91.0
15741,-93.5
15744,-73.0
16282,-66.0
16462,-80.0
17034,-84.5
17084,-82.0
17115,-116.5
17184,-81.0
17244,-91.5
17245,-86.0
17313,-125.0
17345,-120.0
17404,-73.0
17498,-126.0
17805,-79.5
18000,-123.0
18092,-131.5
18120,-100.0
18237,-133.0
18360,-111.0
18600,-241.5
18601,-372.0
18960,-467.0
18961,-472.0
19162,-389.5
19205,-367.0
19320,-462.0
19371,-417.0
19543,-545.0
19560,-468.0
19800,-631.0
19910,-606.0
20002,-597.5
20104,-639.0
20254,-720.0
20280,-721.0
20305,-1037.0
20355,-672.0
20760,-1152.0
22080,-992.0
22320,-1279.0
22382,-1208.0
23640,-1352.0
23760,-1276.0
24360,-1207.0
24361,-1274.0
24373,-1402.0
24411,-989.0
24461,-591.5
24511,-729.0
24561,-899.0
24611,-644.0
24661,-1179.0
24711,-989.0
24761,-1059.0
24811,-959.0
25080,-1226.5
25081,-1264.0
25320,-1231.5
25321,-1269.0
40600,-1204.0
46252,-1444.0
