step,pnl
731,7.5
804,10.0
869,14.5
957,18.0
1442,20.0
1495,22.0
1596,24.0
2094,16.0
2095,15.0
2464,14.0
2689,16.0
3004,20.0
3125,21.5
3317,23.0
3549,20.0
3673,23.0
4399,26.0
5215,29.0
5368,14.0
5372,2.0
5492,4.0
6368,6.0
7038,8.0
7660,10.0
8897,14.5
8980,21.0
9008,16.5
9178,20.0
9183,13.5
9536,20.0
9639,27.0
9799,29.0
9985,31.5
9986,33.0
11442,33.0
11503,36.0
11940,37.0
12127,28.0
12331,31.0
13105,30.0
13188,32.0
13481,36.0
13484,38.5
13490,29.0
13776,32.0
14190,20.0
14420,43.0
15043,27.0
15649,29.0
15745,27.0
15890,29.0
15910,21.0
16032,49.5
16059,77.0
16147,95.5
16314,86.0
16820,92.0
17584,94.0
17658,103.5
17768,98.0
18008,100.0
18268,105.0
18390,104.0
18531,106.0
18765,108.0
19035,110.0
19177,101.5
19278,116.0
19322,114.0
19359,116.0
19786,123.5
20395,122.0
20446,132.5
20518,125.0
20552,135.0
20729,100.0
20756,142.0
20793,139.0
21000,133.5
21051,147.0
22980,119.0
23035,157.0
23137,159.0
23525,145.0
23948,152.5
23995,144.0
24076,135.0
24476,143.0
24546,104.0
24897,145.0
24955,91.5
26401,108.0
26771,101.0
26793,106.0
26993,106.5
27047,102.0
27144,101.0
27407,103.0
27584,105.0
28135,118.0
28481,117.5
28637,118.0
29168,115.5
30804,115.0
30810,104.0
31101,118.0
31371,114.5
31425,117.0
31471,118.0
31656,122.0
31678,125.0
31681,127.0
31815,128.0
31851,128.0
31907,130.0
31948,130.0
31954,133.5
32194,128.0
32290,121.5
32637,141.0
33434,124.0
33438,101.0
33486,120.0
34622,134.0
34723,150.5
34884,152.0
34921,121.5
35922,139.0
