step,pnl
534,36.0
538,32.0
554,77.0
610,87.0
686,94.5
800,2.0
874,80.0
969,190.0
1325,352.0
1449,357.0
1658,379.0
1659,401.0
1660,423.0
1661,444.0
1693,366.5
1695,464.0
1748,669.0
1803,524.0
1871,624.0
1880,624.0
1900,674.0
1945,514.0
2319,528.5
2674,563.0
2677,578.0
2698,468.0
2699,468.0
2700,468.0
2769,623.0
2840,713.0
3108,-157.0
3348,-129.5
3538,111.0
3539,100.5
3540,-12.0
3609,363.0
3634,36.0
3848,143.0
4059,73.0
4158,93.0
4203,68.0
4214,38.0
4269,158.0
4270,78.0
4458,93.0
4459,133.0
4631,29.0
4735,55.0
4746,-9.0
4772,70.5
4968,-267.0
5029,-342.0
5030,-347.0
5100,-339.5
5101,-322.0
5105,-347.0
5139,-334.5
5161,-322.0
5300,-257.0
5500,-167.0
5626,-119.5
5628,-57.0
5629,-24.5
5710,58.0
5983,88.0
5984,118.0
6003,113.0
6178,73.0
6181,80.5
6258,98.0
6259,113.0
6260,120.0
6337,98.5
6425,148.0
6427,78.0
6484,-147.0
6547,-62.0
6579,-107.0
6587,-58.0
6589,-58.0
6656,31.0
6706,-24.0
6716,-14.0
6828,-214.0
6829,-184.0
6830,-164.0
6929,71.0
7178,90.0
7179,90.0
7180,84.5
7277,119.0
7278,198.5
7435,237.0
7436,290.0
7447,182.0
7448,167.0
7556,227.0
7562,299.5
7584,337.0
7585,349.5
7586,377.0
7699,47.0
7743,122.0
7809,257.0
7982,289.5
7997,361.0
7998,390.0
8151,414.0
8465,384.0
8603,444.0
8724,421.5
8725,399.0
8855,451.5
8856,484.0
8857,524.0
8936,554.0
8937,576.5
9041,479.0
9134,259.0
9135,244.0
9394,308.0
9395,308.0
9396,319.0
9412,424.0
9602,931.0
9675,941.0
9678,916.0
9790,1046.0
9791,1095.0
9848,1115.0
9944,1015.0
9956,1069.0
10015,984.0
10300,1009.0
10301,1004.0
10341,1071.5
10343,1094.0
10404,1099.0
10406,1122.0
10407,1120.5
10496,1015.0
10534,940.0
10553,935.0
10560,949.5
10710,885.0
10785,930.0
10787,984.0
10957,1020.0
10958,1065.0
11100,1036.0
11166,1171.0
11167,1193.5
11400,1216.0
11401,1151.0
11438,1231.0
11498,1296.0
11499,1336.0
11600,1366.0
11700,1361.0
11748,1383.5
11751,1441.0
11753,1481.0
11773,1461.0
11800,1463.5
11921,1401.0
11922,1298.5
11954,1141.0
12049,1046.0
12050,1021.0
12124,1146.0
12587,1188.5
12589,1201.0
12684,1141.0
12700,1251.0
12888,1272.0
12939,1269.0
12992,1271.0
13005,1273.0
13006,1318.0
13100,1347.0
13502,1329.5
13505,1386.0
13569,1405.5
13571,1405.0
13572,1420.0
13600,1620.0
13816,1650.0
13817,1660.0
13900,1662.5
13901,1665.0
14060,1700.0
14062,1700.0
14063,1705.0
14128,1600.0
14142,1552.5
14396,1425.0
14399,1510.0
14418,1680.0
14419,1790.0
14420,1905.0
14485,1745.0
14647,1767.5
14649,1840.0
14678,1830.0
14680,1800.0
15025,1930.0
15077,1860.0
15100,1817.5
15133,1820.0
15268,1832.5
15286,1815.0
15321,1850.0
15322,1850.0
15339,1805.5
15340,1883.0
15341,1946.5
15479,1924.0
15520,1949.0
15572,1909.0
15573,1931.5
15637,2099.0
15647,2192.0
15678,2237.0
15685,2237.0
15878,2177.0
15881,2292.0
15917,2467.0
16096,2529.0
16100,2562.0
16361,2660.0
16384,2681.0
16487,2553.0
16488,2573.0
16594,2566.5
16716,2786.0
16717,2869.0
16783,2828.0
16855,2842.0
16856,2846.0
16877,2889.0
16902,2935.0
16952,3119.0
17123,3184.0
17124,3299.0
17218,3758.5
17219,3777.0
17220,3795.0
17539,3773.0
17547,3795.5
17548,3818.0
17549,3840.5
17678,3878.0
17679,3838.0
17736,3913.0
17738,4038.0
17899,4163.0
17900,4120.5
17968,4153.0
17970,4266.0
17971,4322.0
18225,4274.0
18332,4316.5
18333,4289.0
18547,4325.0
18549,4355.0
18781,4340.5
18897,4339.0
18898,4409.0
18899,4474.0
18942,4544.0
18944,4579.0
18945,4541.5
19035,4614.0
19107,4794.0
19110,4838.0
19190,4888.0
19191,4918.0
19192,4898.0
19537,4843.0
19539,4840.5
19577,4805.0
19580,4867.0
19700,4859.0
19701,4881.0
19702,4918.0
19822,4925.5
19823,4933.0
19874,4982.0
19875,4991.0
19876,4937.5
19877,4892.0
19943,4893.0
19946,4841.0
20022,4811.0
20130,4601.0
20163,4569.0
20238,4629.0
20601,4641.5
20624,4747.0
20870,4820.0
20925,4775.0
20953,4817.0
20954,4857.0
21212,5036.5
21213,5059.0
21214,5082.5
21296,5141.0
21345,5163.5
21369,5156.0
21873,5241.0
22068,5291.0
22200,5303.5
22265,5306.0
22498,5313.5
22611,5441.0
22674,5303.5
22675,5376.0
22825,5421.0
22826,5566.0
22861,5468.0
22930,5618.0
22985,5478.0
22996,5468.0
22999,5488.0
23049,5498.0
23070,5538.0
23129,5573.0
23452,5458.0
23645,5488.0
23662,5550.5
23759,5523.0
23760,5523.0
23803,5498.0
24018,5533.0
24200,5528.0
24240,5545.5
24241,5563.0
24242,5545.5
24243,5558.0
24253,5653.0
24254,5663.0
24255,5705.5
24256,5828.0
24558,5823.0
24722,5723.0
24724,5720.5
24725,5747.0
24737,5938.5
24800,5741.0
24850,5848.5
24851,5906.0
24852,5944.5
24893,6011.0
24898,6092.5
25129,5991.0
25229,5998.5
25231,6021.0
25270,6061.0
25271,6101.0
25314,6143.5
25467,6136.0
25468,6191.0
25470,5905.0
25481,5904.0
25523,5984.0
25577,5799.0
25587,5784.0
25590,5984.0
25691,5934.0
25966,5946.0
26200,5947.0
26240,5954.0
26241,5960.0
26247,5972.0
26249,5989.0
26400,5994.5
