step,pnl
3,4.5
51,8.0
101,12.0
151,16.0
207,22.5
407,22.0
457,26.5
506,32.0
557,35.5
606,40.0
656,44.0
706,48.0
760,53.5
806,56.0
858,62.5
906,64.0
956,68.0
1010,76.0
1060,80.5
1106,80.0
1157,88.5
1210,84.0
1260,96.5
1306,96.0
1358,104.5
1410,100.0
1456,108.0
1506,112.0
1557,120.5
1606,120.0
1657,128.5
1707,124.0
1756,132.0
1806,136.0
1857,144.5
1906,144.0
1959,152.5
2007,148.0
2057,160.5
2106,160.0
2156,164.0
2206,168.0
2256,172.0
2306,176.0
2361,184.5
2561,184.0
2613,184.5
2664,189.0
2713,193.5
2761,200.0
2811,204.0
2864,207.0
2911,212.0
2961,216.0
3012,220.5
3061,224.0
3112,229.5
3165,234.0
3212,238.5
3264,243.0
3312,247.5
3361,248.0
3415,256.5
3464,252.0
3511,260.0
3568,260.0
3767,264.5
3816,272.0
3866,276.0
3918,278.0
3966,284.0
4020,287.0
4067,292.0
4117,296.0
4166,300.0
4216,304.0
4267,309.5
4320,314.0
4366,316.0
4416,320.0
4466,324.0
4516,328.0
4566,332.0
4616,336.0
4667,344.5
4716,344.0
4769,352.5
4820,348.0
4866,356.0
4916,360.0
4966,364.0
5016,368.0
5070,376.5
5117,376.0
5166,380.0
5216,384.0
5268,392.5
5319,388.0
5366,396.0
5417,396.0
5467,408.5
5520,404.0
5566,412.0
5617,412.0
5668,424.5
5716,424.0
5767,432.5
5816,432.0
5866,436.0
5916,440.0
5969,448.5
6016,448.0
6066,452.0
6118,452.0
6172,464.5
6371,464.0
6421,468.0
6471,472.0
6523,473.5
6571,480.0
6622,482.5
6673,487.0
6721,492.0
6779,496.0
6976,500.0
7027,505.0
7076,508.0
7129,514.0
7176,516.0
7226,520.0
7277,527.5
7326,528.0
7376,532.0
7426,536.0
7484,544.5
7681,544.0
7731,548.0
7784,549.0
7834,553.5
7881,560.0
7931,564.0
7981,568.0
8031,572.0
8081,576.0
8131,580.0
8181,584.0
8232,589.5
8281,592.0
8333,598.5
8381,600.0
8432,607.5
8481,608.0
8532,616.5
8581,616.0
8631,620.0
8681,624.0
8732,632.5
8782,628.0
8831,636.0
8885,636.0
8931,644.0
8982,644.0
9033,656.5
9082,652.0
9131,660.0
9181,664.0
9236,672.5
9438,668.0
9486,676.0
9537,677.0
9587,681.5
9636,688.0
9686,692.0
9736,696.0
9790,699.5
9837,704.0
9887,708.5
9937,713.0
9986,716.0
10036,720.0
10086,724.0
10136,728.0
10187,735.5
10239,740.0
10286,740.0
10337,740.0
10388,752.5
10436,752.0
10488,760.5
10536,760.0
10587,768.5
10636,768.0
10687,776.5
10737,772.0
10786,780.0
10836,784.0
10886,788.0
10936,792.0
10991,800.5
11191,800.0
11241,804.0
11291,808.0
11342,809.5
11391,816.0
11441,820.0
11492,823.0
11543,827.5
11596,832.0
11796,836.0
11849,841.0
11896,844.0
11946,848.0
11997,854.5
12049,859.0
12096,860.0
12146,864.0
12197,872.5
12248,868.0
12297,880.5
12346,880.0
12397,888.5
12446,888.0
12496,892.0
12549,892.0
12596,900.0
