step,pnl
56,124.5
104,199.0
410,399.0
446,344.0
600,446.5
601,606.0
694,316.0
750,311.0
813,-479.0
926,-1079.0
1182,-943.5
1237,-808.0
1895,-704.0
1986,-620.0
2085,-571.5
2130,-623.0
2176,-483.5
2217,-574.0
2973,-370.0
3005,-421.0
3241,-295.0
3300,-349.0
4168,-291.5
4258,-334.0
4524,-266.5
4525,-269.0
4823,-194.0
4944,-179.0
4948,-60.5
4976,58.0
5716,162.5
5838,105.0
5989,163.5
6048,102.0
6483,225.5
6609,349.0
6641,500.5
6642,346.0
6646,384.0
6708,502.0
7279,573.0
7322,544.0
7417,599.0
7426,644.0
7672,708.0
7743,802.0
8121,892.0
8126,872.0
8865,954.5
8902,837.0
9008,879.0
9033,901.0
9088,919.5
10678,1305.0
10814,1511.0
10827,1479.0
11885,1573.0
11890,1617.0
12022,1738.5
12121,2056.0
12217,2224.0
12238,2084.0
12276,2229.5
12352,2205.0
12408,2359.0
12409,2303.0
12487,2347.0
12520,2451.0
12842,2579.0
12941,2707.0
13036,2752.0
13090,2887.0
13457,2933.0
13466,2999.0
14484,3040.5
14493,3152.0
14857,3216.5
16272,3251.0
16800,3472.0
16808,3374.0
17862,3470.5
17931,3567.0
18001,3688.0
18010,3579.0
18765,3682.5
18766,3798.0
18823,3888.0
19500,3853.0
19504,3885.0
19959,3922.0
20338,3942.0
20438,3822.0
20442,3873.0
20976,3808.0
21234,3873.0
21751,3981.0
22253,4584.5
22439,4680.0
22469,4865.0
22742,4909.0
22748,4883.0
22856,5081.0
22951,5099.0
23873,5256.0
23885,5175.0
24003,5330.5
24182,5634.0
24744,5778.0
24991,5710.0
25228,5850.5
25515,6407.0
26131,6756.0
27533,6962.0
28608,7079.5
28611,7047.0
28625,7203.0
30340,7270.0
30414,7367.0
30426,7427.0
30928,7287.0
30948,7303.5
32250,7321.0
32374,7266.5
32592,7346.0
32973,7446.5
33377,7514.0
33450,7546.5
33862,7604.0
35017,7616.5
