offset,result,steps,price
-0.01,TIMEOUT,51,
-0.05,TIMEOUT,51,
-0.01,TIMEOUT,51,
-0.05,TIMEOUT,51,
-0.01,TIMEOUT,51,
-0.05,TIMEOUT,51,
-0.01,TIMEOUT,51,
-0.05,TIMEOUT,51,
-0.01,TIMEOUT,51,
-0.05,TIMEOUT,51,
-0.01,TIMEOUT,51,
-0.05,TIMEOUT,51,
-0.01,TIMEOUT,51,
-0.05,TIMEOUT,51,
-0.01,TIMEOUT,51,
-0.05,TIMEOUT,51,
-0.01,TIMEOUT,51,
-0.05,TIMEOUT,51,
-0.01,TIMEOUT,51,
-0.05,TIMEOUT,51,
-0.01,TIMEOUT,51,
-0.05,TIMEOUT,51,
-0.01,TIMEOUT,51,
-0.05,TIMEOUT,51,
-0.01,TIMEOUT,51,
-0.05,TIMEOUT,51,
-0.01,TIMEOUT,51,
-0.05,TIMEOUT,51,
-0.01,TIMEOUT,51,
-0.05,TIMEOUT,51,
-0.01,TIMEOUT,51,
-0.05,TIMEOUT,51,
-0.01,TIMEOUT,51,
-0.05,TIMEOUT,51,
-0.01,TIMEOUT,51,
-0.05,TIMEOUT,51,
-0.01,TIMEOUT,51,
-0.05,TIMEOUT,51,
-0.01,SUCCESS,24,1018.09
-0.05,TIMEOUT,51,
-0.01,TIMEOUT,51,
-0.05,TIMEOUT,51,
-0.01,TIMEOUT,51,
-0.05,TIMEOUT,51,
-0.01,TIMEOUT,51,
-0.05,TIMEOUT,51,
-0.01,TIMEOUT,51,
-0.05,TIMEOUT,51,
-0.01,TIMEOUT,51,
-0.05,TIMEOUT,51,
-0.01,TIMEOUT,51,
