offset,result,steps,price
-0.01,TIMEOUT,51,
-0.05,TIMEOUT,51,
-0.01,TIMEOUT,51,
-0.05,TIMEOUT,51,
-0.01,TIMEOUT,51,
-0.05,SUCCESS,50,1006.55
-0.01,TIMEOUT,51,
-0.05,TIMEOUT,51,
-0.01,TIMEOUT,51,
-0.05,TIMEOUT,51,
-0.01,TIMEOUT,51,
-0.05,SUCCESS,5,1032.15
-0.01,SUCCESS,20,1032.29
-0.05,TIMEOUT,51,
-0.01,TIMEOUT,51,
-0.05,SUCCESS,44,1038.65
-0.01,TIMEOUT,51,
-0.05,TIMEOUT,51,
-0.01,SUCCESS,44,1045.49
-0.05,TIMEOUT,51,
-0.01,TIMEOUT,51,
-0.05,SUCCESS,44,1062.85
-0.01,TIMEOUT,51,
-0.05,TIMEOUT,51,
-0.01,SUCCESS,43,1073.89
-0.05,TIMEOUT,51,
-0.01,TIMEOUT,51,
-0.05,SUCCESS,44,1082.25
-0.01,SUCCESS,0,1081.99
-0.05,SUCCESS,3,1080.75
-0.01,TIMEOUT,51,
-0.05,SUCCESS,23,997.09
-0.01,TIMEOUT,51,
-0.05,TIMEOUT,51,
-0.01,TIMEOUT,51,
-0.05,SUCCESS,25,998.5
-0.01,TIMEOUT,51,
-0.05,TIMEOUT,51,
-0.01,SUCCESS,1,998.45
-0.05,TIMEOUT,51,
-0.01,TIMEOUT,51,
-0.05,TIMEOUT,51,
-0.01,TIMEOUT,51,
-0.05,TIMEOUT,51,
-0.01,TIMEOUT,51,
-0.05,TIMEOUT,51,
-0.01,TIMEOUT,51,
-0.05,TIMEOUT,51,
-0.01,TIMEOUT,51,
-0.05,TIMEOUT,51,
-0.01,TIMEOUT,51,
-0.05,TIMEOUT,51,
-0.01,TIMEOUT,51,
-0.05,TIMEOUT,51,
-0.01,TIMEOUT,51,
-0.05,TIMEOUT,51,
-0.01,TIMEOUT,51,
-0.05,TIMEOUT,51,
-0.01,TIMEOUT,51,
-0.05,TIMEOUT,51,
-0.01,SUCCESS,8,998.5
-0.05,TIMEOUT,51,
-0.01,TIMEOUT,51,
-0.05,TIMEOUT,51,
-0.01,TIMEOUT,51,
-0.05,SUCCESS,16,1000.9
-0.01,TIMEOUT,51,
-0.05,TIMEOUT,51,
-0.01,TIMEOUT,51,
-0.05,TIMEOUT,51,
-0.01,SUCCESS,24,1019.19
-0.05,TIMEOUT,51,
-0.01,TIMEOUT,51,
-0.05,SUCCESS,44,1019.19
-0.01,TIMEOUT,51,
-0.05,TIMEOUT,51,
-0.01,SUCCESS,43,1021.19
-0.05,TIMEOUT,51,
-0.01,TIMEOUT,51,
-0.05,SUCCESS,43,1020.75
-0.01,TIMEOUT,51,
-0.05,TIMEOUT,51,
-0.01,SUCCESS,43,1021.39
-0.05,TIMEOUT,51,
-0.01,TIMEOUT,51,
-0.05,SUCCESS,44,1018.95
-0.01,SUCCESS,1,1016.89
